tag,ard,type,record
NI13021,DB113.0,REAL,Y
TI13021,DB113.4,REAL,Y
NI17021,DB113.8,REAL,Y
NI18021,DB113.12,REAL,Y
NI27021,DB113.16,REAL,Y
NI28021,DB113.20,REAL,Y
FI18021,DB113.24,REAL,Y
FI28021,DB113.28,REAL,Y
PI13021,DB113.32,REAL,Y
PI14021,DB113.36,REAL,Y
PI15021,DB113.40,REAL,Y
PI16021,DB113.44,REAL,Y
PI16121,DB113.48,REAL,Y
PI16221,DB113.52,REAL,Y
PI16321,DB113.56,REAL,Y
PI16421,DB113.164,REAL,Y
PI18021,DB113.60,REAL,Y
PI26021,DB113.64,REAL,Y
YI17021,DB113.68,REAL,Y
LI11021,DB113.72,REAL,Y
YI02221_tank,DB113.76,REAL,Y
YI02321_tank,DB113.80,REAL,Y
YI09721_tank,DB113.84,REAL,Y
NI02321_tank,DB113.88,REAL,Y
LI02211_tank,DB113.92,REAL,Y
LI09711_tank,DB113.96,REAL,Y
PDI13021,DB113.100,REAL,Y
PDI14021,DB113.104,REAL,Y
PDI15021,DB113.108,REAL,Y
PDI16021,DB113.112,REAL,Y
PDI16X21,DB113.116,REAL,Y
UI18021,DB113.120,REAL,Y
UI28021,DB113.124,REAL,Y
FI09711_tank,DB113.128,REAL,Y
FI02321_tank,DB113.132,REAL,Y
LI02411_tank,DB113.136,REAL,Y
Unit11_RT,DB113.300,REAL,N
Unit21_RT,DB113.324,REAL,N
FI28021_Total,DB120.452,REAL,Y
FI18021_Total,DB120.504,REAL,Y
NI13011_H,DB120.514,REAL,Y
Step_Time_S,DB120.52,DINT,N
Step_Time_M,DB120.56,DINT,N
Step_Time_H,DB120.60,DINT,N
System_idle_1,DB120.10.1,BOOL,N
System_Operateing_1,DB120.10.2,BOOL,N
System_Adj_VS16911,DB120.10.3,BOOL,N
System_Stop_Rinse_1,DB120.10.4,BOOL,N
System_Stop_1,DB120.10.5,BOOL,N
System_Clean_Active,DB120.10.6,BOOL,N
water_rinse_Active,DB120.11.7,BOOL,N
System_Operateing_2,DB120.15.2,BOOL,N
System_Adj_VS269111,DB120.15.3,BOOL,N
System_Stop_Rinse_2,DB120.15.4,BOOL,N
System_Stop_2,DB120.15.5,BOOL,N
System_Clean_Active_2,DB120.15.6,BOOL,N
PK13011_Run,DB111.0.0,BOOL,N
PK13011_Fault,DB111.0.1,BOOL,N
PK02211_Run,DB111.0.2,BOOL,N
PK02211_Fault,DB111.0.3,BOOL,N
PK13811_Run,DB111.0.4,BOOL,N
PK13811_Fault,DB111.0.5,BOOL,N
PP16011_Run,DB111.1.0,BOOL,N
PP16011_Fault,DB111.1.1,BOOL,N
PP16021_Run,DB111.1.2,BOOL,N
PP16021_Fault,DB111.1.3,BOOL,N
PP16031_Run,DB111.1.4,BOOL,N
PP16031_Fault,DB111.1.5,BOOL,N
PP16041_Run,DB111.1.6,BOOL,N
PP16041_Fault,DB111.1.7,BOOL,N
PK16111_Run,DB111.3.0,BOOL,N
PK16111_Fault,DB111.3.1,BOOL,N
PK16211_Run,DB111.3.2,BOOL,N
PK16211_Fault,DB111.3.3,BOOL,N
PK16311_Run,DB111.3.4,BOOL,N
PK16311_Fault,DB111.3.5,BOOL,N
PK16411_Run,DB111.3.6,BOOL,N
PK16411_Fault,DB111.3.7,BOOL,N
PK16511_Run,DB111.4.0,BOOL,N
PK16511_Fault,DB111.4.1,BOOL,N
PK16611_Run,DB111.4.2,BOOL,N
PK16611_Fault,DB111.4.3,BOOL,N
PK16711_Run,DB111.4.4,BOOL,N
PK16711_Fault,DB111.4.5,BOOL,N
PK16811_Run,DB111.4.6,BOOL,N
PK16811_Fault,DB111.4.7,BOOL,N
PP26011_Run,DB111.6.0,BOOL,N
PP26011_Fault,DB111.6.1,BOOL,N
PP26021_Run,DB111.6.2,BOOL,N
PP26021_Fault,DB111.6.3,BOOL,N
PP26031_Run,DB111.6.4,BOOL,N
PP26031_Fault,DB111.6.5,BOOL,N
PP26041_Run,DB111.6.6,BOOL,N
PP26041_Fault,DB111.6.7,BOOL,N
PK26111_Run,DB111.8.0,BOOL,N
PK26111_Fault,DB111.8.1,BOOL,N
PK26211_Run,DB111.8.2,BOOL,N
PK26211_Fault,DB111.8.3,BOOL,N
